Fecha,Coord
2019-01-01,-89.6186010999999 20.9274968999999 -12
2019-01-01,-89.6185749999999 20.9274922 0
2019-01-01,-89.6185749999999 20.9274922 0
2019-01-01,-89.6185845999999 20.9274859 0
2019-01-01,-89.6185845999999 20.9274859 0
2019-01-01,-89.6185845999999 20.9274859 0
2019-01-01,-89.6185658 20.9274904999999 0
2019-01-01,-89.6185388 20.9274779 -1
2019-01-01,-89.6185077 20.9274155 -1
2019-01-01,-89.6185411 20.9273995 0
2019-01-01,-89.618222 20.9204945 0
2019-01-01,-89.6182371 20.9206567 -2
2019-01-01,-89.6181745 20.9205242 0
2019-01-01,-89.618214 20.9205286 -1
2019-01-01,-89.6182258 20.9205531 -1
2019-01-01,-89.6182276999999 20.9205576 0
2019-01-01,-89.6182084 20.9205175 0
2019-01-01,-89.6181089 20.9202899 -1
2019-01-01,-89.6181412999999 20.9203858 -1
2019-01-01,-89.6182039999999 20.9204410999999 -1
2019-01-01,-89.6181802 20.9203875 -1
2019-01-01,-89.6181325 20.9204947 -1
2019-01-01,-89.6181325 20.9204947 -1
2019-01-01,-89.6181325 20.9204947 -1
2019-01-01,-89.6182183999999 20.920543 0
2019-01-01,-89.6182183999999 20.920543 0
2019-01-01,-89.6182377 20.9205225 -1
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182228999999 20.9205415 0
2019-01-01,-89.6181431999999 20.9205249999999 0
2019-01-01,-89.6182338 20.9205076 -1
2019-01-01,-89.6182338 20.9205076 -1
2019-01-01,-89.6182423 20.9205279 0
2019-01-01,-89.6182293 20.9205419999999 0
2019-01-01,-89.6182293 20.9205419999999 0
2019-01-01,-89.6182369 20.9205392 0
2019-01-01,-89.6182328 20.9205489999999 0
2019-01-01,-89.6182378 20.9205372 0
2019-01-01,-89.6182366 20.9205191999999 0
2019-01-01,-89.6182288 20.9205471 0
2019-01-01,-89.6182288 20.9205471 0
2019-01-01,-89.6182288 20.9205471 0
2019-01-01,-89.6182204999999 20.92054 0
2019-01-01,-89.6182369 20.9205392 0
